,url,genre,game_details
138,https://store.steampowered.com/app/960090/Bloons_TD_6/,Strategy,"Single-player,Steam Achievements,In-App Purchases"
139,https://store.steampowered.com/app/519860/DUSK/,"Action,Indie","Single-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
140,https://store.steampowered.com/app/261570/Ori_and_the_Blind_Forest/,Action,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats"
141,https://store.steampowered.com/app/445980/Wizard_of_Legend/,"Action,Adventure,Indie","Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
142,https://store.steampowered.com/app/560380/MapleStory_2/,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support"
143,https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/,"Casual,Indie,Strategy","Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
144,https://store.steampowered.com/app/410320/EARTH_DEFENSE_FORCE_41_The_Shadow_of_New_Despair/,Action,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
145,https://store.steampowered.com/bundle/2202/Cities_Skylines_Collection/,"Simulation,Strategy","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor"
146,https://store.steampowered.com/app/353370/Steam_Controller/,Valve,
147,https://store.steampowered.com/app/535930/Two_Point_Hospital/,"Indie,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
148,https://store.steampowered.com/app/352720/The_Universim/,"Indie,Simulation,Strategy,Early Access","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
149,https://store.steampowered.com/app/312660/Sniper_Elite_4/,"Action,Adventure","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
